Inicio log nanducho cargue archivo compras 2018-06-28 17:06:44 -0500
2018-04-08,F-000-0062,PVGWWWE,25.50. Linea 62> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0063,PVUWWWG,14.00. Linea 63> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0064,PVGWWZE,55.40. Linea 64> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0065,PVGWWBZ,139.60. Linea 65> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0066,PVGWWGE,61.00. Linea 66> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0067,PVUWWSF,4.00. Linea 67> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0068,PVUWWAG,8.00. Linea 68> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0069,PVGWWAE,53.70. Linea 69> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0070,PVUWWWB,31.00. Linea 70> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0071,PVGWWSL,21.00. Linea 71> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0072,PVGWWSE,105.80. Linea 72> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0073,PVGWWEZ,13.90. Linea 73> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0074,PVGWSGE,52.50. Linea 74> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0075,PVGWWPL,25.50. Linea 75> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0076,PVGWWFZ,50.70. Linea 76> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0077,PVGWWWA,23.00. Linea 77> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0078,PVUWWWP,16.00. Linea 78> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0079,PVUWWSG,9.00. Linea 79> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0080,PVUWWSLL,19.00. Linea 80> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0081,PVUWWWWZ,4.00. Linea 81> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0082,PVUWWSGL,8.00. Linea 82> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0083,PVGWWWE,50.00. Linea 83> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0084,PVGWWSA,35.00. Linea 84> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0085,PVUWWSF,5.00. Linea 85> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0086,PVUWWWP,30.00. Linea 86> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0087,PVGWWES,33.00. Linea 87> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0088,PVGWWWS,27.00. Linea 88> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0089,PVGWWWA,90.00. Linea 89> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0090,PVUWWSS,19.00. Linea 90> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0091,PVUWWWG,40.00. Linea 91> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0092,PVGWWZZ,65.00. Linea 92> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0093,PVUWWSF,11.00. Linea 93> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0094,PVUWWWP,19.00. Linea 94> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0095,PVUWWSB,10.00. Linea 95> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0096,PVUWWSGL,4.00. Linea 96> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0097,PVGWWSA,36.00. Linea 97> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0098,PVGWWSE,18.00. Linea 98> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0099,PVUWWWF,42.00. Linea 99> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0100,PVUWWWWL,25.00. Linea 100> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0101,PVGWWWS,1.00. Linea 101> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0102,PVUWWWG,34.00. Linea 102> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0103,PVGWWZE,51.60. Linea 103> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0104,PVGWWZA,57.70. Linea 104> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0105,PVGWWEA,37.00. Linea 105> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0106,PVUWWFAL,8.00. Linea 106> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0107,PVUWWAF,9.00. Linea 107> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0108,PVGWWZA,1.00. Linea 108> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0109,PVUWWSG,19.00. Linea 109> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0110,PVGWWBZ,15.70. Linea 110> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0111,PVGWWZS,51.50. Linea 111> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0112,PVUWWSF,14.00. Linea 112> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0113,PVUWWWF,13.00. Linea 113> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0114,PVGWWSE,34.30. Linea 114> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0115,PVUWWWWL,51.00. Linea 115> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0116,PVUWWWP,4.00. Linea 116> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0117,PVGWWWA,66.50. Linea 117> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0118,PVGWWLE,81.00. Linea 118> compras ok| kardex ok| inventario creado ok
2018-04-08,F-000-0119,PVGWWSZ,114.00. Linea 119> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0120,PVGWWPE,29.70. Linea 120> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0121,PVGWWSE,47.20. Linea 121> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0122,PVGWWWS,7.00. Linea 122> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0123,PVGWWSA,58.00. Linea 123> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0124,PVGWWZZ,102.50. Linea 124> compras ok| kardex ok| inventario actualizado ok
2018-04-08,F-000-0125,PVUWWSS,30.00. Linea 125> compras ok| kardex ok| inventario actualizado ok
