Inicio log nanducho cargue archivo compras 2017-10-04 16:05:04 -0500
27/07/2017,FACT2000-0061,PVGWWGA,123.6. Linea 61> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0062,PVGWWFA,32.2. Linea 62> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0063,PVGWWWS,7.5. Linea 63> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0064,PVGWWGA,112.8. Linea 64> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0065,PVGWWEA,109.6. Linea 65> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0066,PVGWWSE,1073.6. Linea 66> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0067,PVUWSPP,1. Linea 67> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0068,PVGWWFE,45.5. Linea 68> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0069,PVGWWSE,92.8. Linea 69> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0070,PVUWWWWZ,1. Linea 70> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0071,PVGWWEE,41.9. Linea 71> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0072,PVGWWWE,101.3. Linea 72> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0073,PVUWWFBP,1. Linea 73> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0074,PVUWWBGZL,1. Linea 74> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0075,PVGWWEE,8. Linea 75> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0076,PVGWWAE,22.2. Linea 76> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0077,PVGWSWE,4.4. Linea 77> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0078,PVGWWWE,4.2. Linea 78> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0079,PVUWWBZWL,1. Linea 79> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0080,PVGWWLE,404.9. Linea 80> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0081,PVUWWWWL,4. Linea 81> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0082,PVGWWPZ,352.7. Linea 82> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0083,PVGWWFZ,63.4. Linea 83> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0084,PVGWWZE,158.6. Linea 84> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0085,PVGWWBZ,348.1. Linea 85> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0086,PVGWWEE,104.8. Linea 86> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0087,PVGWWWE,193. Linea 87> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0088,PVGWWBZ,232.6. Linea 88> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0089,PVGWWPZ,37.6. Linea 89> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0090,PVGWWBZ,9.9. Linea 90> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0091,PVUWWLSSE,1. Linea 91> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0092,PVGWSFZ,67.9. Linea 92> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0093,PVGWWWE,15. Linea 93> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0094,PVGWWWL,16. Linea 94> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0095,PVUWWP,46. Linea 95> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0096,PVUWWB,76. Linea 96> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0097,PVUWWS,39. Linea 97> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0098,PVGWWFL,9. Linea 98> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0099,PVGWWSZ,3. Linea 99> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0100,PVGWWWZ,4. Linea 100> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0101,PVGWWWL,43.1. Linea 101> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0102,PVUWWWALL,1. Linea 102> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0103,PVGWWEA,3.8. Linea 103> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0104,PVGWWSE,6.9. Linea 104> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0105,PVGWWLE,2.6. Linea 105> compras ok| kardex ok| inventario actualizado ok
