num_factura,fecha_ingreso,articulo_nombre,valor_unidad,cantidad_integer,valor_venta
FACT003,28/10/2016,10PHEBDO50G,2600,0,0
FACT003,28/10/2016,10PHEBRMA60G,2600,0,0
FACT003,28/10/2016,10PHEBRME60G,2550,0,0
FACT003,28/10/2016,10PHEBRPG50G,2550,0,0
FACT003,28/10/2016,10PHESDEDI50G,2800,0,0
FACT003,28/10/2016,10PHESDI60G,2650,0,0
FACT003,28/10/2016,10PHESDI60G,2600,0,0
FACT003,28/10/2016,10PHESDOMEDI70G,2800,0,0
FACT003,28/10/2016,10PHESGO70G,2600,0,0
FACT003,28/10/2016,10PHESIDE60G,2300,0,0
FACT003,28/10/2016,10PHESMA60G,2600,0,0
FACT003,28/10/2016,10PHESOG60G,2550,0,0
FACT003,28/10/2016,10PHESOG70G,2600,0,0
FACT003,28/10/2016,10PHESPDI60G,2700,0,0
FACT003,28/10/2016,10PHESPDI60G,2550,0,0
FACT003,28/10/2016,10PHESPGDIG,2550,0,0
FACT003,28/10/2016,10PHESPGF60G,2550,0,0
FACT003,28/10/2016,10PHESPMEDI55G,2700,0,0
FACT003,28/10/2016,10PHESPMEDICG,3000,0,0
FACT003,28/10/2016,10PHESPOMEG,3000,0,0
FACT003,28/10/2016,10PHGUDE45G,1850,0,0
FACT003,28/10/2016,10PHGUG45G,1850,0,0
FACT003,28/10/2016,10PHRNME50G,2300,0,0
FACT003,28/10/2016,10PHSSDOG70G,2200,0,0
FACT003,28/10/2016,10PHSSDOME70G,2650,0,0
